"Project name","My Website"
"Date range","06/30/2026 12:00 AM - 07/06/2026 11:59 PM"


"Country","United States"
"Visited URL matches regex","^https://mushoodhanif\.com/(\?.*)?$"

"Page views","11"
"Total clicks","6"

"Metric","Click"

"Rank","Button","Clicks"," % of clicks"
"1","HTML>BODY:nth-of-type(1)>DIV.border-t.shadow-lg.backdrop-blur:nth-of-type(14)>DIV.mx-auto.flex.flex-col.sm:flex-row.sm:items-center.sm:justify-between:nth-of-type(1)>BUTTON.rounded-md.bg-primary.font-medium.text-primary-foreground.text-sm.transition-colors:nth-of-type(1)","3","50%"
"2","HTML>BODY:nth-of-type(1)>DIV.w-full.border-b:nth-of-type(4)>DIV.w-full.mx-auto.border-x.relative:nth-of-type(1)>DIV.w-full.flex.flex-col.items-center.justify-center:nth-of-type(1)>H2.font-semibold.tracking-tight.text-left.w-full.border-b.font-mono:nth-of-type(1)","3","50%"
